gene1,gene2,corr
CLTC,GNA13,0.6798505918118699
CLTC,METTL2A,0.6419638221220186
CLTC,CCDC47,0.6916836097244505
CLTC,PSMD12,0.6316907511970269
CLTC,DCAF7,0.6845427097074502
CLTC,HEATR6,0.7860466225286502
CLTC,USP32,0.7617299121904076
CLTC,CERS6,0.6000420249608078
CLTC,RPS6KB1,0.7844822152252255
CLTC,SMG8,0.7592246285071901
CLTC,INTS2,0.7250588066823804
CLTC,PPM1D,0.6120106068079926
CLTC,DHX40,0.7708826358270149
CLTC,TLK2,0.6356491006399468
CLTC,COIL,0.6007110535511767
CLTC,APPBP2,0.7789260385378524
CLTC,MED13,0.7346024689753278
CDKN2A,CDKN2B-AS1,0.6648316395376901
SGK1,PTGER4,0.6358421994591155
SGK1,MAML2,0.6183034108760795
SGK1,CD200,0.6528755067802867
SGK1,SPRY2,0.6600674208212987
SGK1,NLRP3,0.6006757547559789
SGK1,EGR2,0.6499367068469846
SGK1,FOXO1,0.6226526734081608
SGK1,CXCL2,0.6368845393465871
SGK1,ATF3,0.6036922766803033
SGK1,PROS1,0.6115319199536936
SGK1,KCTD12,0.65169012206661
SGK1,FLI1,0.6079631937431019
SGK1,PTGS2,0.657897093638281
SGK1,SIRPA,0.6142113385339444
SGK1,DMD,0.6207620002572414
SGK1,CPNE8,0.6335962449801483
SGK1,NR4A3,0.6435386217046613
SGK1,ADAMTS1,0.6430192206632952
SGK1,ACSL4,0.6426627727697988
SGK1,EGR1,0.6030415526803938
SGK1,S1PR1,0.6085989707027358
SGK1,LPCAT2,0.6306390572541349
SGK1,ITPRIPL1,0.6236399329266376
SGK1,EOGT,0.6060524345839147
SGK1,TLE4,0.6061061161266502
SGK1,ANXA1,0.6506237423953013
SGK1,ETS2,0.6387364841879256
SGK1,SNCA,0.6299416480785751
SGK1,FAM126A,0.6804606235470594
SGK1,CARD6,0.6393374569713919
SGK1,SPRY1,0.6195200347839774
SGK1,PLA2G4A,0.6310180640324731
SGK1,RGS2,0.6815075998472522
SGK1,ZFP36,0.6367875913639685
SGK1,RGL1,0.6080129517855966
SGK1,KLHL29,0.6091261148343905
SGK1,IL6,0.608764166133943
SGK1,GEM,0.6010719138694617
SGK1,GLIPR1,0.6192894652932772
